=== ICICI PAGE STRUCTURE ===
Title: FD Interest Rates - Check Latest Fixed Deposit Rates | ICICI Bank

=== BUTTONS AND LINKS ===
Btn 0: tag=BUTTON, id=None, class=skip-main-content-btn skip-btn-hidden, text=Skip to main content
Btn 1: tag=A, id=None, class=brand, text=ICICI Bank Logo
Btn 2: tag=BUTTON, id=None, class=close, text=Close
Btn 3: tag=A, id=None, class=btn-link btn-nav-main highlighted, text=Personal
Btn 4: tag=A, id=None, class=None, text=Personal
Btn 5: tag=A, id=None, class=btn-link, text=Accounts
Btn 6: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 7: tag=BUTTON, id=None, class=close, text=Close
Btn 8: tag=A, id=None, class=None, text=Savings Account
Btn 9: tag=A, id=None, class=None, text=Salary Account
Btn 10: tag=A, id=None, class=None, text=Capital Gains Account Scheme
Btn 11: tag=A, id=None, class=None, text=Hindu Undivided Family (HUF) Savings Account
Btn 12: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Apply now
Btn 13: tag=A, id=None, class=btn-link, text=Deposits
Btn 14: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 15: tag=BUTTON, id=None, class=close, text=Close
Btn 16: tag=A, id=None, class=None, text=Fixed Deposit
Btn 17: tag=A, id=None, class=None, text=Monthly Pay-out Fixed Deposit
Btn 18: tag=A, id=None, class=None, text=Recurring Deposit
Btn 19: tag=A, id=None, class=None, text=iWish - Goal Based Savings
Btn 20: tag=A, id=None, class=button-cta button-cta--large button-cta--primary chvron-arrow-forward, text=View all deposits
Btn 21: tag=A, id=None, class=None, text=Fixed Deposit Interest Rates
Btn 22: tag=A, id=None, class=None, text=Fixed Deposit Calculator
Btn 23: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Open FD
Btn 24: tag=A, id=None, class=btn-link, text=Payments
Btn 25: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 26: tag=BUTTON, id=None, class=close, text=Close
Btn 27: tag=A, id=None, class=None, text=Money Transfer
Btn 28: tag=A, id=None, class=None, text=Credit Card Bill Payment
Btn 29: tag=A, id=None, class=None, text=Tax Payment
Btn 30: tag=A, id=None, class=None, text=Bill Payment and Recharges
Btn 31: tag=A, id=None, class=None, text=E-wallet
Btn 32: tag=A, id=None, class=None, text=FastTag
Btn 33: tag=A, id=None, class=button-cta button-cta--large button-cta--primary chvron-arrow-forward, text=View all payments
Btn 34: tag=A, id=None, class=None, text=Indian Financial System Code (IFSC) Finder
Btn 35: tag=A, id=None, class=None, text=Unified Payments Interface (UPI)
Btn 36: tag=A, id=None, class=None, text=Forex Services
Btn 37: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Use iMobile App
Btn 38: tag=A, id=None, class=btn-link, text=Cards
Btn 39: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 40: tag=BUTTON, id=None, class=close, text=Close
Btn 41: tag=A, id=None, class=None, text=Credit Cards
Btn 42: tag=A, id=None, class=None, text=Debit Cards
Btn 43: tag=A, id=None, class=None, text=Forex Cards
Btn 44: tag=A, id=None, class=None, text=Prepaid Cards
Btn 45: tag=A, id=None, class=button-cta button-cta--large button-cta--primary chvron-arrow-forward, text=View all cards
Btn 46: tag=A, id=None, class=None, text=Compare Credit Cards
Btn 47: tag=A, id=None, class=None, text=Offers
Btn 48: tag=A, id=None, class=None, text=Manage Standing Instructions
Btn 49: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Get credit card
Btn 50: tag=A, id=None, class=btn-link, text=Loans
Btn 51: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 52: tag=BUTTON, id=None, class=close, text=Close
Btn 53: tag=A, id=None, class=None, text=Personal Loan
Btn 54: tag=A, id=None, class=None, text=Home Loan
Btn 55: tag=A, id=None, class=None, text=Car Loan
Btn 56: tag=A, id=None, class=None, text=Education Loan
Btn 57: tag=A, id=None, class=None, text=Gold Loan
Btn 58: tag=A, id=None, class=None, text=Loans Against Securities
Btn 59: tag=A, id=None, class=None, text=Loan Against Mutual Funds
Btn 60: tag=A, id=None, class=None, text=Loan Against Property
Btn 61: tag=A, id=None, class=button-cta button-cta--large button-cta--primary chvron-arrow-forward, text=View all loans
Btn 62: tag=A, id=None, class=None, text=Multi Product Eligibility Calculator
Btn 63: tag=A, id=None, class=None, text=Personal Loan EMI Calculator
Btn 64: tag=A, id=None, class=None, text=Home Loan EMI Calculator
Btn 65: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Apply now
Btn 66: tag=A, id=None, class=btn-link, text=Investments
Btn 67: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 68: tag=BUTTON, id=None, class=close, text=Close
Btn 69: tag=A, id=None, class=None, text=Mutual Funds
Btn 70: tag=A, id=None, class=None, text=3-in-1 Account (Invest in stocks)
Btn 71: tag=A, id=None, class=None, text=Demat Account
Btn 72: tag=A, id=None, class=None, text=National Pension System
Btn 73: tag=A, id=None, class=None, text=Public Provident Fund
Btn 74: tag=A, id=None, class=None, text=Government Schemes
Btn 75: tag=A, id=None, class=None, text=Senior Citizens Savings Scheme
Btn 76: tag=A, id=None, class=button-cta button-cta--large button-cta--primary chvron-arrow-forward, text=View all investments
Btn 77: tag=A, id=None, class=None, text=Systematic Investment Plan (SIP) Calculator
Btn 78: tag=A, id=None, class=None, text=Lumpsum Calculator
Btn 79: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Invest now
Btn 80: tag=A, id=None, class=btn-link, text=Insurance
Btn 81: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 82: tag=BUTTON, id=None, class=close, text=Close
Btn 83: tag=A, id=None, class=None, text=Life Insurance
Btn 84: tag=A, id=None, class=None, text=Health Insurance
Btn 85: tag=A, id=None, class=None, text=Vehicle Insurance
Btn 86: tag=A, id=None, class=None, text=Travel Insurance
Btn 87: tag=A, id=None, class=None, text=Government Schemes
Btn 88: tag=A, id=None, class=button-cta button-cta--large button-cta--primary chvron-arrow-forward, text=View all insurance
Btn 89: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Insure now
Btn 90: tag=A, id=None, class=btn-link, text=Special Services
Btn 91: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 92: tag=BUTTON, id=None, class=close, text=Close
Btn 93: tag=A, id=None, class=None, text=Capital Gains Account Scheme
Btn 94: tag=A, id=None, class=None, text=Banking Solutions for Doctors
Btn 95: tag=A, id=None, class=None, text=Campus Power
Btn 96: tag=A, id=None, class=None, text=Retirement Planning
Btn 97: tag=A, id=None, class=None, text=iShop
Btn 98: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Apply now
Btn 99: tag=A, id=None, class=btn-link, text=Explore Personal Banking
Btn 100: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 101: tag=BUTTON, id=None, class=close, text=Close
Btn 102: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Invest now
Btn 103: tag=BUTTON, id=None, class=close, text=Close
Btn 104: tag=A, id=None, class=btn-link btn-nav-main , text=NRI
Btn 105: tag=A, id=None, class=None, text=NRI
Btn 106: tag=A, id=None, class=btn-link, text=Accounts
Btn 107: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 108: tag=BUTTON, id=None, class=close, text=Close
Btn 109: tag=A, id=None, class=None, text=Savings Account
Btn 110: tag=A, id=None, class=None, text=Overseas Savings Account
Btn 111: tag=A, id=None, class=None, text=Account for Returning NRI
Btn 112: tag=A, id=None, class=None, text=GIFT City
Btn 113: tag=A, id=None, class=None, text=Capital Gains Account Scheme
Btn 114: tag=A, id=None, class=None, text=Savings Account Interest Calculator
Btn 115: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Apply now
Btn 116: tag=A, id=None, class=btn-link, text=Deposits
Btn 117: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 118: tag=BUTTON, id=None, class=close, text=Close
Btn 119: tag=A, id=None, class=None, text=Fixed Deposit
Btn 120: tag=A, id=None, class=None, text=Recurring Deposit
Btn 121: tag=A, id=None, class=None, text=Foreign Currency and RFC FD
Btn 122: tag=A, id=None, class=button-cta button-cta--large button-cta--primary chvron-arrow-forward, text=View all deposits
Btn 123: tag=A, id=None, class=None, text=Fixed Deposit Interest Rates
Btn 124: tag=A, id=None, class=None, text=Recurring Deposit Interest Rates
Btn 125: tag=A, id=None, class=None, text=FCNR and RFC FD Rates
Btn 126: tag=A, id=None, class=None, text=Fixed Deposit Calculator
Btn 127: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Open FD
Btn 128: tag=A, id=None, class=btn-link, text=Investments
Btn 129: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 130: tag=BUTTON, id=None, class=close, text=Close
Btn 131: tag=A, id=None, class=None, text=3-in-1 Trading Account
Btn 132: tag=A, id=None, class=None, text=PIS (Portfolio Investment Scheme)
Btn 133: tag=A, id=None, class=None, text=Mutual Funds
Btn 134: tag=A, id=None, class=button-cta button-cta--large button-cta--primary chvron-arrow-forward, text=View all investments
Btn 135: tag=A, id=None, class=button-btn button-btn-secondary button-btn-small, text=Invest now
Btn 136: tag=A, id=None, class=btn-link, text=Money Transfer
Btn 137: tag=BUTTON, id=None, class=back__btn, text=Back
Btn 138: tag=BUTTON, id=None, class=close, text=Close
Btn 139: tag=A, id=None, class=None, text=Send Money to India
Btn 140: tag=A, id=None, class=None, text=Send Money Abroad
Btn 141: tag=A, id=None, class=None, text=Global UPI Payments
